sa_advertising,sa_ann_rep_months,sa_avg_total_assets_net_of_reval,sa_building_net_addn_in_yr,sa_cf_net_frm_op_activity,sa_comm_equip_net_addn_in_yr,sa_company_name,sa_computer_it_net_addn_in_yr,sa_elec_install_fitting_net_addn_in_yr,sa_extra_ordi_inc,sa_finance1_cocode,sa_finance1_year,sa_gfa_net_addn_in_yr,sa_net_furn_social_oth_fxd_ast,sa_pat,sa_plant_net_addn_in_yr,sa_rnd_exp,sa_sales,sa_sw_net_addn_in_yr,sa_total_assets,sa_transport_infra_net_addn_in_yr,sa_transport_veh_net_addn_in_yr
,18,294305.4,764.2,33737.6,,ALOK INDUSTRIES LTD.,8.1,,,11599,20150331,5921.9,86.8,3487.6,5033.8,132.0,225003.1,13.9,294305.4,,12.2
,12,65.1,,-0.6,,ALORA TRADING CO. LTD.,,,,11654,20150331,,,1.8,,,,,127.4,,
,12,1275.05,-514.9,-18.3,,ALPA LABORATORIES LTD.,-1.2,-25.5,,11664,20150331,-779.5,-4.7,-14.0,-207.6,,618.2,,1283.1,,-0.5
,12,254.2,,-0.5,,ALPHA GRAPHIC INDIA LTD.,,,,11760,20150331,,,-14.9,,,6.8,,249.7,,
,12,44.7,,-0.4,,ALPHA HI-TECH FUEL LTD.,,,,11764,20150331,,,-2.2,,,,,42.4,,
0.2,12,727.65,,246.1,,ALPHAGEO (INDIA) LTD.,-0.7,,,11853,20150331,-19.9,-0.5,149.0,-18.7,,639.7,,716.7,,
1.2,12,1276.5,,-108.9,,ALPINE HOUSING DEVP. CORPN. LTD.,0.3,0.6,0.1,11905,20150331,7.9,0.6,14.4,4.3,,164.2,,1350.3,,1.3
8.4,12,10651.8,1.5,1.8,,ALPS INDUSTRIES LTD.,1.4,,,11955,20150331,43.7,2.1,-294.9,45.4,,6517.0,,10355.8,,-6.7
0.1,12,148.25,,3.4,,ALPS MOTOR FINANCE LTD.,,,,11961,20150331,,,0.7,,,14.5,,153.6,,
,12,52430.55,265.0,4420.8,,G E T & D INDIA LTD.,20.5,,0.8,12007,20150331,1137.4,-18.8,1199.5,891.7,269.9,38891.5,,51868.5,,-2.5
,12,37803.3,40.1,2179.6,,G E POWER INDIA LTD.,,,485.9,12011,20150331,198.1,9.4,1770.7,144.0,,21977.7,5.3,38049.2,,-0.7
,12,214.6,1.5,,,ALUFLUORIDE LTD.,0.1,,2.3,12108,20150331,8.7,0.1,30.4,7.0,,257.3,,231.8,,
4.5,12,266.4,,-395.8,,ALUMINIUM INDUSTRIES LTD.,,,,12131,20150331,,,-118.2,,3.0,273.2,,281.4,,
0.1,12,81.55,,11.2,,AMAL LTD.,,,,12258,20150331,8.3,0.1,-5.8,8.8,,209.7,,89.6,,-0.6
,12,8.7,,0.0,,AMALGAMATED ELECTRICITY CO. LTD.,,,,12281,20150331,,,0.0,,,,,8.8,,
